algorithm,backend,dataset,num_clients,partition_mode,partition_id,client_sample_counts,rounds,runtime_sec,communication_bytes,ari,nmi,silhouette,davies_bouldin,calinski_harabasz
fed_kmeans_numpy,numpy-local-federated-simulation,iris,5,iid,581b5ff657a2b7ef,"30,30,30,30,30",5,1.4429,5400,0.6451,0.6613,0.4565,0.8275,239.4845
fed_kmeans_flower,flower-simulation,iris,5,iid,581b5ff657a2b7ef,"30,30,30,30,30",10,10.4768,10800,0.6451,0.6613,0.4565,0.8275,239.4845
